Index,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,Alt,Temp
355,-0.361120,0.082960,0.935496,59.299999,8.200000,25.400000,83,-110,-36,54.312500,"33.937500
"
356,-0.363560,0.165432,1.209264,56.200001,3.800000,24.000000,114,-110,-248,54.312500,"33.937500
"
357,-0.275720,0.102480,0.950624,53.200001,1.200000,22.600000,20,-24,7,52.687500,"33.000000
"
358,-0.275720,0.097112,0.958920,53.599998,1.200000,25.400000,17,-11,-7,52.687500,"33.937500
"
359,-0.272792,0.098576,0.955504,55.700001,2.600000,21.500000,11,138,-5,52.687500,"33.937500
"
360,-0.376248,0.071248,0.923296,56.799999,3.300000,22.100000,-65,518,-31,53.250000,"33.937500
"
361,-0.427976,0.054656,0.898896,59.000000,0.600000,19.799999,27,46,-4,53.250000,"33.937500
"
362,-0.432856,0.061488,0.890600,59.299999,1.100000,23.299999,-3,40,-10,53.250000,"33.937500
"
363,-0.445056,0.058072,0.892552,59.299999,2.500000,23.000000,17,-10,-7,53.000000,"33.937500
"
364,-0.452864,0.062464,0.888648,61.099998,1.900000,20.600000,20,-3,-5,53.000000,"33.937500
"
365,-0.454816,0.061000,0.887184,60.500000,2.900000,19.400000,12,0,-16,53.000000,"33.937500
"
366,-0.411872,0.073200,0.924272,60.299999,2.800000,21.500000,65,-341,19,52.937500,"33.000000
"
367,-0.372344,0.073200,0.918416,56.900002,1.200000,22.299999,60,-158,11,52.937500,"33.000000
"
368,-0.311832,0.079544,0.946720,55.299999,0.700000,21.799999,33,17,2,52.937500,"33.000000
"
369,-0.367952,0.073200,0.925248,56.599998,1.400000,24.299999,-7,301,-11,55.562500,"33.937500
"
370,-0.434808,0.061000,0.897920,59.799999,1.300000,19.299999,17,-42,0,55.562500,"33.000000
"
371,-0.450912,0.060024,0.885232,59.799999,1.700000,22.500000,39,-72,4,55.562500,"33.000000
"
372,-0.440664,0.058560,0.894504,59.200001,0.700000,19.100000,13,30,-7,52.187500,"33.937500
"
373,-0.460184,0.057096,0.890112,59.000000,2.600000,22.200001,46,15,4,52.187500,"33.000000
"
374,-0.472384,0.050752,0.882304,59.799999,2.900000,20.799999,24,-15,5,52.187500,"33.000000
"
375,-0.506056,0.068320,0.852536,60.599998,2.500000,21.900000,23,-13,-2,54.125000,"33.937500
"
376,-0.411872,0.063440,0.896456,59.000000,2.400000,22.799999,64,-186,3,54.125000,"33.000000
"
377,-0.325984,0.081984,0.942816,54.900002,1.600000,25.200001,56,-168,-1,54.125000,"33.937500
"
378,-0.316224,0.083936,0.935496,54.799999,2.000000,23.299999,-6,140,-11,54.250000,"33.937500
"
379,-0.382104,0.069296,0.928176,58.000000,2.100000,23.900000,-41,366,-23,54.250000,"33.937500
"
380,-0.432856,0.062464,0.897920,61.299999,2.300000,22.600000,10,47,-7,54.250000,"33.937500
"
381,-0.454328,0.057096,0.882304,60.599998,2.600000,19.200001,23,17,-3,51.375000,"33.937500
"
382,-0.454816,0.058072,0.890600,60.099998,3.000000,18.799999,42,-26,0,51.375000,"33.000000
"
383,-0.456280,0.058560,0.890600,61.799999,2.800000,18.700001,3,20,-8,51.375000,"33.937500
"
384,-0.412360,0.064904,0.915488,58.500000,1.100000,24.500000,56,-197,8,50.937500,"33.000000
"
385,-0.386008,0.068320,0.926224,57.599998,0.200000,23.900000,29,-15,-7,50.937500,"33.937500
"
386,-0.380640,0.068320,0.915976,56.200001,1.400000,21.900000,18,23,4,50.937500,"33.000000
"
387,-0.382104,0.069296,0.915000,56.799999,2.600000,22.400000,18,-10,0,54.125000,"33.000000
"
388,-0.399184,0.069296,0.909632,57.799999,0.800000,24.200001,23,-6,-1,54.125000,"33.937500
"
389,-0.393328,0.071248,0.921344,58.400002,2.100000,22.700001,26,-47,6,54.125000,"33.000000
"
390,-0.364048,0.073200,0.939400,57.299999,1.300000,24.100000,64,-137,13,54.125000,"33.000000
"
391,-0.338184,0.076128,0.934520,55.200001,-0.300000,21.600000,73,-324,7,50.937500,"33.000000
"
392,-0.275232,0.086864,0.963312,53.599998,2.100000,25.100000,-3,143,-5,50.937500,"33.937500
"
393,-0.366976,0.066368,0.931592,56.700001,0.200000,21.900000,-40,362,-10,50.937500,"33.937500
"
394,-0.425536,0.063440,0.907680,59.099998,1.200000,20.700001,29,-25,2,55.937500,"33.000000
"
395,-0.443104,0.056120,0.880352,60.000000,0.800000,21.799999,29,-27,6,55.937500,"33.000000
"
396,-0.447496,0.057584,0.881328,59.700001,0.400000,22.000000,27,-15,-6,55.937500,"33.937500
"
397,-0.455792,0.057096,0.903776,59.500000,0.800000,21.400000,21,3,-1,55.250000,"33.937500
"
398,-0.459208,0.054656,0.878400,61.599998,1.900000,23.900000,14,2,12,55.250000,"33.000000
"
399,-0.462624,0.052704,0.880352,59.700001,1.300000,20.900000,34,6,-1,55.250000,"33.937500
"
400,-0.481168,0.021960,0.870104,61.799999,1.500000,20.299999,17,49,-6,50.687500,"33.937500
"
401,-0.407480,0.066368,0.904752,58.000000,1.200000,23.200001,81,-192,4,50.687500,"33.000000
"
